country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,Continent
Guatemala,6.5,6.33,6.5,7.5,7.33,6.83,8.67,10,8.67,6,Americas
Mexico,7,6.58,6.67,6.83,7.08,6.83,10,6.67,10,6.67,North America
Mexico,6.92,6.42,6.17,7.33,7.25,6.75,10,6.67,10,6.5,North America
Mexico,7.67,7,7.17,7.58,7.33,7.33,10,2.67,10,7.08,North America
United States (Hawaii),7.17,7.17,7.17,7.58,7.67,6.92,9.33,6.67,6.67,7.33,North America
Brazil,7.25,6.58,6.58,7,7,6.42,8,8,10,6.67,Americas
Honduras,7,7.17,6.83,7.17,7,7.17,8,8,8,7.08,Americas
Mexico,7.08,7.08,6.92,7.08,6.92,6.92,8,8,8,6.92,North America
Colombia,8,7.33,7.75,7.33,7.42,7.67,6.67,6.67,6.67,7.33,Americas
United States (Hawaii),6.92,6.92,6.92,7.5,7.58,7.17,6.67,6.67,9.33,6.92,North America
Haiti,6.92,6.75,7.08,7.17,7.33,6.67,10,5.33,8.67,6.42,Americas
Costa Rica,6.33,6.5,6.33,6.83,6.33,6.5,10,6.67,10,6.25,Americas
Mexico,6.92,6.92,6.92,6.92,7.17,7,10,2.67,10,6.58,North America
Mexico,6.5,6.67,6.42,7.17,7.33,6.5,8,6,10,6.42,North America
Mexico,6.92,7,6.83,6.92,7.42,6.92,6,6,10,6.75,North America
Brazil,7,7,6.83,7,7.33,6.83,6,6,10,6.67,Americas
Honduras,6.67,6.5,6.17,6.67,6.83,6.17,8,8,8,6.33,Americas
Honduras,7,6.17,6.17,6.67,6.5,6.17,8,8,8,6.5,Americas
Honduras,7,6.33,6.17,6.5,6.67,6.17,8,8,8,6.33,Americas
Mexico,7.08,6.83,6.25,7.42,7.25,6.75,10,0,10,6.75,North America
Haiti,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6,6,6.42,Americas
Nicaragua,7.25,6.58,6.33,6.25,6.42,6.08,6,6,6,6.17,Americas
Guatemala,7.5,6.67,6.67,7.67,7.33,6.67,8,1.33,1.33,6.67,Americas
Honduras,0,0,0,0,0,0,0,0,0,0,Americas
Uganda,7.83,8.08,7.75,7.92,8.25,7.92,10,10,8,8,Africa
India,8,7.75,7.92,8,7.92,7.92,10,10,8,8,Asia
India,7.92,7.83,7.92,8,7.83,7.92,10,10,7.83,8,Asia
Uganda,8,7.92,7.92,7.75,7.83,7.75,10,10,7.75,8.08,Africa
Uganda,8.33,7.83,7.83,7.75,8.25,7.75,10,10,7.58,7.67,Africa
India,8,7.92,7.67,8,7.75,7.92,10,10,7.75,7.75,Asia
India,7.67,7.75,7.83,7.83,7.92,7.75,10,10,8,7.83,Asia
India,7.67,7.75,7.83,7.67,7.92,7.83,10,10,7.92,7.92,Asia
India,7.67,7.75,7.58,7.83,7.83,8,10,10,7.92,7.92,Asia
Uganda,7.67,7.83,7.83,7.83,7.92,7.75,10,10,7.75,7.83,Africa
Uganda,7.58,7.92,7.75,7.83,7.5,7.67,10,10,7.67,7.83,Africa
India,7.67,7.83,7.75,7.5,7.75,7.58,10,10,7.75,7.75,Asia
India,7.58,7.58,7.67,7.58,7.67,7.67,10,10,7.5,8.33,Asia
Uganda,8,7.75,7.75,7.58,7.67,7.5,10,10,7.58,7.67,Africa
Uganda,8,7.67,7.75,7.5,7.67,7.58,10,10,7.58,7.75,Africa
India,7.75,7.75,7.67,7.67,7.58,7.58,10,10,7.58,7.83,Asia
India,7.5,7.5,7.25,7.83,7.67,7.83,10,10,7.83,7.83,Asia
Uganda,7.33,7.58,7.5,7.75,7.75,7.67,10,10,7.75,7.58,Africa
Uganda,7.83,7.58,7.33,7.67,7.5,7.5,10,10,7.75,7.42,Africa
Uganda,7.75,7.42,7.33,7.58,7.67,7.58,10,10,7.67,7.5,Africa
India,7.67,7.67,7.5,7.33,7.58,7.5,10,10,7.42,7.5,Asia
India,7.58,7.42,7.42,7.83,7.42,7.5,10,10,7.42,7.58,Asia
United States,7.92,7.5,7.42,7.42,7.42,7.42,9.33,10,7.58,7.33,North America
Ecuador,7.75,7.58,7.33,7.58,5.08,7.83,10,10,7.75,7.83,Americas
Ecuador,7.5,7.67,7.75,7.75,5.17,5.25,10,10,8.42,8.58,Americas
United States,7.33,7.33,7.17,7.42,7.5,7.17,9.33,9.33,7.42,7.17,North America
India,7.42,6.83,6.75,7.17,7.25,7,9.33,9.33,7.08,6.92,Asia
Vietnam,6.75,6.67,6.5,6.83,6.92,6.83,9.33,9.33,6.67,7.92,Asia
